"id";"user_id";"year";"titulo";"descripcion";"url_file";"count_funcionarios";"procesado";"estado";"created_at";"updated_at"
"1";"16";"2025";"FIESTA MUNICIPAL";"Fiesta Municipal gestion 2025";"importaciones/6N6XknEUdjNlt8nN53AAU3COtPRSfBMlE1f8k5mj.xlsx";"10435";"1";"0";"2025-08-05 15:40:32";"2025-08-05 17:58:32"
"2";"16";"2025";"Fiesta Municipal 2025";"Fiesta Municipal 2025";"importaciones/B6rlyKkDpwDjKNM2Hc5j7Gw1Vg3LwU6P4lyE3S88.xlsx";"10435";"1";"1";"2025-08-05 17:58:59";"2025-08-05 17:59:30"
